water_risk_id,indicator,year,scenario,value,main_id,source_id
water_risk-e7e6a960-2030-opt-2,Water Depletion Label,2030,opt,Low (<5%),QC-MAIN-e7e6a960,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-e7e6a960-2030-opt-3,Interannual Variability Label,2030,opt,Low - Medium (0.25-0.50),QC-MAIN-e7e6a960,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-e7e6a960-2050-bau-1,Water Stress Label,2050,bau,Low (<10%),QC-MAIN-e7e6a960,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-e7e6a960-2050-bau-2,Water Depletion Label,2050,bau,Low (<5%),QC-MAIN-e7e6a960,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-e7e6a960-2050-bau-3,Interannual Variability Label,2050,bau,Low - Medium (0.25-0.50),QC-MAIN-e7e6a960,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-e7e6a960-2050-pes-1,Water Stress Label,2050,pes,Low (<10%),QC-MAIN-e7e6a960,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-e7e6a960-2050-pes-2,Water Depletion Label,2050,pes,Low (<5%),QC-MAIN-e7e6a960,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-e7e6a960-2050-pes-3,Interannual Variability Label,2050,pes,Low - Medium (0.25-0.50),QC-MAIN-e7e6a960,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-e7e6a960-2050-opt-1,Water Stress Label,2050,opt,Low (<10%),QC-MAIN-e7e6a960,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-e7e6a960-2050-opt-2,Water Depletion Label,2050,opt,Low (<5%),QC-MAIN-e7e6a960,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-e7e6a960-2050-opt-3,Interannual Variability Label,2050,opt,Low - Medium (0.25-0.50),QC-MAIN-e7e6a960,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-e7e6a960-2080-bau-1,Water Stress Label,2080,bau,Low (<10%),QC-MAIN-e7e6a960,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-e7e6a960-2080-bau-2,Water Depletion Label,2080,bau,Low (<5%),QC-MAIN-e7e6a960,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-e7e6a960-2080-bau-3,Interannual Variability Label,2080,bau,Low - Medium (0.25-0.50),QC-MAIN-e7e6a960,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-e7e6a960-2080-pes-1,Water Stress Label,2080,pes,Low (<10%),QC-MAIN-e7e6a960,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-e7e6a960-2080-pes-2,Water Depletion Label,2080,pes,Low (<5%),QC-MAIN-e7e6a960,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-e7e6a960-2080-pes-3,Interannual Variability Label,2080,pes,Low - Medium (0.25-0.50),QC-MAIN-e7e6a960,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-e7e6a960-2080-opt-1,Water Stress Label,2080,opt,Low (<10%),QC-MAIN-e7e6a960,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-e7e6a960-2080-opt-2,Water Depletion Label,2080,opt,Low (<5%),QC-MAIN-e7e6a960,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-e7e6a960-2080-opt-3,Interannual Variability Label,2080,opt,Low - Medium (0.25-0.50),QC-MAIN-e7e6a960,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-aeafbb59-2020-baseline-1,Water Stress Label,2020,baseline,Low (<10%),ON-MAIN-aeafbb59,https://www.wri.org/data/aqueduct-global-maps-40-data
